               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                 113            0.038611            0.043112            0.006181             0.89355             0.83397             0.91746             0.63897            0.034536             0.02398           0.0038883           0.0088544           0.0088544            0.017754
                 114            0.041891            0.041337           0.0071878              0.8265             0.84698             0.89245             0.57469            0.039392            0.024166           0.0036794           0.0089276           0.0089276            0.017028
                 115            0.041306            0.042798           0.0075064             0.88096             0.86007              0.9134             0.60725            0.035942            0.024108           0.0037719           0.0090007           0.0090007            0.016301
                 116             0.04154            0.042151           0.0069232             0.82829             0.87499             0.91016             0.60159            0.036232            0.023872           0.0037446           0.0090737           0.0090737            0.015574
                 117            0.039188            0.041944           0.0062187             0.83421             0.86274             0.91083             0.62283            0.034142            0.023951           0.0038283           0.0091466           0.0091466            0.014847
                 118            0.038906            0.039022           0.0074998             0.82683             0.83468             0.88835             0.57924            0.037221            0.024285           0.0038649           0.0092193           0.0092193            0.014119
                 119            0.042732             0.04924             0.00708             0.85931             0.83877              0.9096             0.60461            0.037072            0.024063           0.0037313           0.0092919           0.0092919            0.013392
                 120            0.041209            0.049582           0.0074006             0.82679             0.85467             0.90732             0.59017            0.038942            0.024551           0.0037511           0.0093644           0.0093644            0.012664
                 121             0.04097            0.039934           0.0068773             0.81738             0.82497             0.89736              0.5903            0.039756            0.023774           0.0036838           0.0094368           0.0094368            0.011937
                 122            0.041151            0.042495           0.0068226             0.82169             0.85961             0.90626             0.61233            0.037356            0.024016           0.0037046           0.0095091           0.0095091            0.011209
                 123            0.040605            0.041293           0.0063728              0.8086              0.8532             0.90681             0.58563            0.038126            0.024119           0.0038605           0.0095812           0.0095812            0.010481
                 124            0.041048            0.042816           0.0073327             0.84391             0.84332              0.8995             0.57467            0.037633            0.024273            0.003937           0.0096532           0.0096532           0.0097532
                 125            0.042992            0.046266           0.0076503             0.83523              0.8556             0.90255             0.59848            0.035612            0.024447           0.0039725           0.0096575           0.0096575           0.0096575
                 126            0.038822             0.04356           0.0071833             0.83761              0.8529             0.90706             0.59049            0.034275            0.023942           0.0040373           0.0096575           0.0096575           0.0096575
                 127            0.038611            0.040121           0.0069113             0.86362             0.84335             0.90769             0.60677            0.034084            0.024241           0.0039865            0.009652            0.009652            0.009652
                 128            0.040195            0.044158           0.0074657             0.88134             0.84652             0.91917             0.61297            0.034599            0.023768           0.0037853           0.0096466           0.0096466           0.0096466
                 129            0.040127            0.042468           0.0074342              0.8189             0.86593             0.90698             0.59001             0.03536            0.024064           0.0037602            0.009641            0.009641            0.009641
                 130            0.040376            0.046971           0.0069585              0.8452             0.85653             0.92076             0.59867            0.035132            0.023756           0.0036974           0.0096355           0.0096355           0.0096355
