               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                 159              0.0337            0.039244            0.005748             0.92608             0.89102             0.94622             0.68667            0.029761            0.020998           0.0029068           0.0051234           0.0051234           0.0051234
                 160            0.034473            0.039209           0.0053696             0.88567             0.89007             0.93378             0.68451            0.029967            0.021183           0.0029082           0.0050765           0.0050765           0.0050765
                 161             0.03349            0.040066           0.0055208             0.92513             0.87331             0.93365             0.69407            0.028706            0.021155            0.002922           0.0050296           0.0050296           0.0050296
                 162            0.033314            0.036205           0.0048258             0.91343             0.88674             0.93914              0.6985            0.028472             0.02056           0.0028919           0.0049828           0.0049828           0.0049828
                 163            0.034299            0.038736           0.0056456             0.92121              0.9038             0.94715             0.71131            0.028364            0.020162           0.0028535            0.004936            0.004936            0.004936
                 164            0.034052            0.039172           0.0057016             0.93131             0.89071             0.94903             0.69433            0.030274            0.020834            0.002856           0.0048893           0.0048893           0.0048893
                 165            0.035809            0.038965            0.005412             0.89283              0.9124             0.94858             0.70503            0.029253            0.020582           0.0028963           0.0048426           0.0048426           0.0048426
                 166            0.034339            0.037721           0.0050258             0.93694             0.88803             0.95135             0.69595             0.02897            0.020575           0.0029068            0.004796            0.004796            0.004796
                 167            0.034419            0.041595           0.0059991             0.93653              0.8781             0.94798             0.70343            0.027916             0.02023           0.0028741           0.0047495           0.0047495           0.0047495
                 168            0.033308            0.042515           0.0054947             0.94435             0.87113             0.94883             0.70396            0.028335            0.020415           0.0028476           0.0047031           0.0047031           0.0047031
                 169            0.032995            0.039991           0.0053194             0.92697             0.90093             0.95292             0.71359             0.02725            0.020049           0.0027777           0.0046568           0.0046568           0.0046568
                 170            0.033445            0.038989           0.0052635             0.91849             0.90332             0.94981             0.71423            0.027541            0.020065           0.0027417           0.0046105           0.0046105           0.0046105
                 171             0.03276            0.037256           0.0050333             0.92108             0.90056             0.95062             0.72444            0.027441            0.019947           0.0027494           0.0045644           0.0045644           0.0045644
                 172            0.033816            0.035633           0.0050912             0.91181             0.90499             0.94988             0.72452            0.027663            0.019877           0.0027259           0.0045184           0.0045184           0.0045184
